score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
avg gap,average gap,0.0,0.06884480746791131,0.07057416267942583,0.06969875959834614,59,798,777,15510,857,836,17144,0,0
avg gap,average gap,0.027157,0.07506361323155217,0.07057416267942583,0.07274969173859433,59,727,777,15581,786,836,17144,0,0
avg gap,average gap,2.596071,0.08235294117647059,0.06698564593301436,0.07387862796833773,56,624,780,15684,680,836,17144,0,0
avg gap,average gap,3.44532,0.08609271523178808,0.06220095693779904,0.07222222222222223,52,552,784,15756,604,836,17144,0,0
avg gap,average gap,4.149165,0.0916030534351145,0.05741626794258373,0.07058823529411765,48,476,788,15832,524,836,17144,0,0
avg gap,average gap,4.93885,0.10572687224669604,0.05741626794258373,0.07441860465116279,48,406,788,15902,454,836,17144,1,1
avg gap,average gap,6.08435,0.12149532710280374,0.04665071770334928,0.06741573033707865,39,282,797,16026,321,836,17144,0,0
avg gap,average gap,21.650379,0.0,0.0,0.0,0,1,836,16307,1,836,17144,0,0
