score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
avg gap,average gap,0.0,0.14439655172413793,0.6782902137232846,0.2381046396841066,603,3573,286,33985,4176,889,38447,0,0
avg gap,average gap,1.898762,0.22531120331950208,0.6107986501687289,0.32919066383752654,543,1867,346,35691,2410,889,38447,0,0
avg gap,average gap,4.838156,0.32161955691367455,0.4735658042744657,0.3830755232029117,421,888,468,36670,1309,889,38447,1,1
avg gap,average gap,28.1829,0.0,0.0,0.0,0,0,889,37558,0,889,38447,0,0
