batch,cand_type,precision,recall,f1
medslangbert_batch_0,is_multiword,0.0,0.0,0.0
medslangbert_batch_0,is_single_word,0.5650887573964497,0.4878671775223499,0.5236463331048663
medslangbert_batch_0,all,0.5650887573964497,0.4046610169491525,0.4716049382716049
medslangbert_batch_1,is_multiword,0.0,0.0,0.0
medslangbert_batch_1,is_single_word,0.6822429906542056,0.5120240480961924,0.5850028620492272
medslangbert_batch_1,all,0.6822429906542056,0.4538188277087033,0.5450666666666666
medslangbert_batch_2,is_multiword,0.0,0.0,0.0
medslangbert_batch_2,is_single_word,0.5693848354792561,0.4590542099192618,0.508301404853129
medslangbert_batch_2,all,0.5693848354792561,0.3925049309664694,0.464681844716871
medslangbert_batch_3,is_multiword,0.0,0.0,0.0
medslangbert_batch_3,is_single_word,0.5463623395149786,0.4548693586698337,0.4964355152300712
medslangbert_batch_3,all,0.5463623395149786,0.3845381526104418,0.4513847967000589
