score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
avg gap,average gap,0.0,0.15543918114734587,0.6718106995884774,0.25246472066499126,653,3548,319,33599,4201,972,38119,0,0
avg gap,average gap,1.969279,0.23498161013485902,0.5915637860082305,0.3363556595495759,575,1872,397,35275,2447,972,38119,0,0
avg gap,average gap,4.826577,0.3287566742944317,0.4434156378600823,0.3775733683749452,431,880,541,36267,1311,972,38119,1,1
avg gap,average gap,21.794063,0.0,0.0,0.0,0,1,972,37146,1,972,38119,0,0
