cand_type,precision,recall,f1
is_multiword,0.036036036036036036,0.125,0.055944055944055944
is_single_word,0.0667779632721202,0.0954653937947494,0.07858546168958742
all,0.06417112299465241,0.09655172413793103,0.0770995869664984
