feature,weight,abs_weight
lg_pred,1.6334144557637806,1.6334144557637806
sc_pred,1.4075864230344592,1.4075864230344592
ma_pred,1.3702857479993502,1.3702857479993502
intercept,-1.6381403789422952,1.6381403789422952
