threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.16271826038277595,0.05747988544933861,0.9546998867497168,0.10843141038008876,843,13823,40,4128,14666,883,18834,1,0
0.4334338556297024,0.07301587301587302,0.10419026047565119,0.08586094260382643,92,1168,791,16783,1260,883,18834,0,1
0.44261547625117437,0.07666385846672283,0.10305775764439411,0.08792270531400967,91,1096,792,16855,1187,883,18834,0,0
0.4988185214043336,0.07657657657657657,0.09626274065685164,0.08529854490717512,85,1025,798,16926,1110,883,18834,0,0
0.7576303923056518,0.0827300930713547,0.09060022650056625,0.08648648648648648,80,887,803,17064,967,883,18834,0,0
0.7966618291597674,0.09465020576131687,0.07814269535673839,0.08560794044665011,69,660,814,17291,729,883,18834,0,0
0.8026374143494429,0.09499136442141623,0.0622876557191393,0.07523939808481532,55,524,828,17427,579,883,18834,0,0
0.9412073294672274,0.0979381443298969,0.04303510758776897,0.059795436664044056,38,350,845,17601,388,883,18834,0,0
