threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.16271826038277595,0.13760071620411818,0.9896973599484868,0.24160968325080562,1537,9633,16,569,11170,1553,11755,0,0
0.4334338556297024,0.3927916921197312,0.41403734707018675,0.4031347962382445,643,994,910,9208,1637,1553,11755,0,1
0.44261547625117437,0.3969135802469136,0.41403734707018675,0.40529467381027423,643,977,910,9225,1620,1553,11755,0,0
0.4988185214043336,0.40364092906465787,0.41403734707018675,0.40877304513668145,643,950,910,9252,1593,1553,11755,0,0
0.7576303923056518,0.43561643835616437,0.4095299420476497,0.42217059409226687,636,824,917,9378,1460,1553,11755,0,0
0.7966618291597674,0.4443661971830986,0.4063103670315518,0.42448705011772625,631,789,922,9413,1420,1553,11755,0,0
0.8026374143494429,0.8384279475982532,0.3708950418544752,0.5142857142857142,576,111,977,10091,687,1553,11755,1,0
0.9412073294672274,0.8678955453149002,0.36381197681905986,0.5127041742286751,565,86,988,10116,651,1553,11755,0,0
