candidate_type,score_column,threshold,precision,recall,f1,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
is_single_word,mt_score,0.0,0.0574790370570733,1.0,0.10870955365136206,14788,850,14788,0,0
is_single_word,mt_score,0.25,0.0634878114117332,0.8364705882352941,0.11801809278778322,11199,850,14788,0,0
is_single_word,mt_score,0.5,0.06603131381892444,0.5705882352941176,0.11836485661989017,7345,850,14788,1,1
is_single_word,mt_score,0.75,0.06846576711644178,0.32235294117647056,0.11294311624072548,4002,850,14788,0,0
is_single_word,mt_score,1.0,0.06966924700914849,0.11647058823529412,0.08718626155878467,1421,850,14788,0,0
