score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
avg gap,average gap,0.0,0.18317802844531633,0.6335877862595419,0.2841925052311204,747,3331,432,16855,4078,1179,21365,0,0
avg gap,average gap,0.398524,0.19814915623298857,0.6174724342663274,0.3000206058108386,728,2946,451,17240,3674,1179,21365,0,0
avg gap,average gap,2.634377,0.2252678008821676,0.6064461407972859,0.3285090742017,715,2459,464,17727,3174,1179,21365,0,0
avg gap,average gap,3.903672,0.24901610017889086,0.5903307888040712,0.35027679919476595,696,2099,483,18087,2795,1179,21365,0,0
avg gap,average gap,4.805304,0.2703488372093023,0.5521628498727735,0.36297741845553383,651,1757,528,18429,2408,1179,21365,1,1
avg gap,average gap,5.61525,0.2876712328767123,0.48091603053435117,0.36,567,1404,612,18782,1971,1179,21365,0,0
avg gap,average gap,6.694598,0.31545961002785516,0.3842239185750636,0.3464627151051625,453,983,726,19203,1436,1179,21365,0,0
avg gap,average gap,8.248016,0.31289111389236546,0.21204410517387617,0.2527805864509606,250,549,929,19637,799,1179,21365,0,0
avg gap,average gap,23.063426,0.0,0.0,0.0,0,1,1179,20185,1,1179,21365,0,0
