threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.16271826038277595,0.10866372980910426,0.9568965517241379,0.19516483516483515,222,1821,10,58,2043,232,2111,0,0
0.4334338556297024,0.22950819672131148,0.3017241379310345,0.260707635009311,70,235,162,1644,305,232,2111,0,1
0.4988185214043336,0.23102310231023102,0.3017241379310345,0.2616822429906542,70,233,162,1646,303,232,2111,0,0
0.7576303923056518,0.24642857142857144,0.2974137931034483,0.26953125,69,211,163,1668,280,232,2111,1,0
0.7966618291597674,0.24548736462093862,0.29310344827586204,0.26719056974459726,68,209,164,1670,277,232,2111,0,0
0.8026374143494429,0.5909090909090909,0.16810344827586207,0.26174496644295303,39,27,193,1852,66,232,2111,0,0
0.9412073294672274,0.6166666666666667,0.15948275862068967,0.2534246575342466,37,23,195,1856,60,232,2111,0,0
