threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.1,0.5165876777251185,0.6521367521367522,0.5765017000377787,763,714,407,19351,1477,1170,21235,0,1
0.2,0.5176390773405699,0.6521367521367522,0.5771558245083208,763,711,407,19354,1474,1170,21235,1,0
0.3,0.5176390773405699,0.6521367521367522,0.5771558245083208,763,711,407,19354,1474,1170,21235,0,0
0.4,0.5176390773405699,0.6521367521367522,0.5771558245083208,763,711,407,19354,1474,1170,21235,0,0
0.5,0.04040404040404041,0.003418803418803419,0.006304176516942474,4,95,1166,19970,99,1170,21235,0,0
0.6,0.0,0.0,0.0,0,1,1170,20064,1,1170,21235,0,0
0.7,0.0,0.0,0.0,0,1,1170,20064,1,1170,21235,0,0
