score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
avg gap,average gap,0.0,0.2292358803986711,0.2974137931034483,0.2589118198874297,69,232,163,1640,301,232,2104,0,0
avg gap,average gap,1.972393,0.23875432525951557,0.2974137931034483,0.2648752399232246,69,220,163,1652,289,232,2104,0,0
avg gap,average gap,4.899147,0.29357798165137616,0.27586206896551724,0.28444444444444444,64,154,168,1718,218,232,2104,1,1
avg gap,average gap,6.815604,0.2987012987012987,0.19827586206896552,0.2383419689119171,46,108,186,1764,154,232,2104,0,0
avg gap,average gap,8.68218,0.30952380952380953,0.11206896551724138,0.16455696202531644,26,58,206,1814,84,232,2104,0,0
avg gap,average gap,17.200245,0.0,0.0,0.0,0,0,232,1872,0,232,2104,0,0
