threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.1,0.09163802978235967,0.09512485136741974,0.09334889148191367,80,793,761,15571,873,841,17205,1,1
0.2,0.09163802978235967,0.09512485136741974,0.09334889148191367,80,793,761,15571,873,841,17205,0,0
0.3,0.0896551724137931,0.09274673008323424,0.09117475160724721,78,792,763,15572,870,841,17205,0,0
0.4,0.0896551724137931,0.09274673008323424,0.09117475160724721,78,792,763,15572,870,841,17205,0,0
0.5,0.0625,0.0011890606420927466,0.002333722287047841,1,15,840,16349,16,841,17205,0,0
0.6,0.3333333333333333,0.0011890606420927466,0.002369668246445498,1,2,840,16362,3,841,17205,0,0
0.7,0.3333333333333333,0.0011890606420927466,0.002369668246445498,1,2,840,16362,3,841,17205,0,0
