batch,score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.372776,0.1937092443421557,0.5543358946212953,0.2870949403069925,505,2102,406,3243,2607,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.404788,0.1869550052319497,0.5883644346871569,0.2837480148226575,536,2331,375,3014,2867,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.443333,0.1822250639386189,0.6256860592755215,0.2822480812082198,570,2558,341,2787,3128,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.476139,0.1767483033343169,0.6575192096597146,0.2786046511627907,599,2790,312,2555,3389,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.515725,0.1718278980542614,0.6882546652030735,0.2749999999999999,627,3022,284,2323,3649,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.550861,0.1654731457800511,0.7102085620197585,0.2684090437668534,647,3263,264,2082,3910,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.583484,0.161591944377847,0.7398463227222832,0.265249901613538,674,3497,237,1848,4171,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.616578,0.1586549311667795,0.7716794731064764,0.2631973043803818,703,3728,208,1617,4431,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.650779,0.1562233589087809,0.8046103183315039,0.2616455470283776,733,3959,178,1386,4692,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.682958,0.1536752827140549,0.8353457738748628,0.2595940644721132,761,4191,150,1154,4952,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.715547,0.1507769038941109,0.862788144895719,0.2566949706074461,786,4427,125,918,5213,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.750418,0.1494336865180855,0.897914379802415,0.2562255285826155,818,4656,93,689,5474,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.78627,0.1473665852807813,0.9275521405049396,0.254326561324304,845,4889,66,456,5734,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.833173,0.1459549624687239,0.960482985729967,0.2534028381117868,875,5120,36,225,5995,911,6256,0,0
lm_lex_batch_9,mean_similarity,mean_similarity,mean_similarity <= threshold,0.959138,0.1454836131095123,0.9989023051591658,0.2539771141501535,910,5345,1,0,6255,911,6256,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.008731,1.0,0.0010741138560687,0.0021459227467811,1,0,930,5634,1,931,6565,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.030698,0.3284671532846715,0.0966702470461869,0.1493775933609958,90,184,841,5450,274,931,6565,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.084119,0.2943327239488117,0.1729323308270676,0.2178619756427604,161,386,770,5248,547,931,6565,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.138952,0.2630937880633374,0.2320085929108485,0.2465753424657534,216,605,715,5029,821,931,6565,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.175352,0.2340036563071298,0.2749731471535983,0.2528395061728395,256,838,675,4796,1094,931,6565,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.210033,0.2273391812865497,0.3340494092373791,0.2705524140930839,311,1057,620,4577,1368,931,6565,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.242071,0.2151127361365021,0.3791621911922664,0.2744945567651633,353,1288,578,4346,1641,931,6565,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.270666,0.2026109660574412,0.4167561761546724,0.2726633872101194,388,1527,543,4107,1915,931,6565,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.299609,0.1936957514846962,0.4554242749731471,0.2717948717948717,424,1765,507,3869,2189,931,6565,0,0
lm_lex_batch_10,mean_similarity,mean_similarity,mean_similarity <= threshold,0.329995,0.1924482338611449,0.5091299677765844,0.2793164407778433,474,1989,457,3645,2463,931,6565,1,1
