threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best
0.1,0.9111111111111111,0.24404761904761904,0.38497652582159625,41,4,127,257,45,168,429,1
0.2,0.9111111111111111,0.24404761904761904,0.38497652582159625,41,4,127,257,45,168,429,0
0.3,0.9069767441860465,0.23214285714285715,0.3696682464454977,39,4,129,257,43,168,429,0
0.4,0.9069767441860465,0.23214285714285715,0.3696682464454977,39,4,129,257,43,168,429,0
0.5,0.0,0.0,0.0,0,0,168,261,0,168,429,0
0.6,0.0,0.0,0.0,0,0,168,261,0,168,429,0
0.7,0.0,0.0,0.0,0,0,168,261,0,168,429,0
