threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.16271826038277595,0.05476341360371779,0.8863247863247863,0.103153287575848,1037,17899,133,2166,18936,1170,21235,0,0
0.4334338556297024,0.1879415920866698,0.6820512820512821,0.29468242245199405,798,3448,372,16617,4246,1170,21235,0,1
0.44261547625117437,0.19242826139377864,0.6820512820512821,0.3001692683844273,798,3349,372,16716,4147,1170,21235,0,0
0.4988185214043336,0.19264278799612777,0.6803418803418804,0.30026405130139566,796,3336,374,16729,4132,1170,21235,0,0
0.7576303923056518,0.2181161433731592,0.6709401709401709,0.32920947787796184,785,2814,385,17251,3599,1170,21235,0,0
0.7966618291597674,0.2157819225251076,0.6427350427350428,0.323093447905478,752,2733,418,17332,3485,1170,21235,0,0
0.8026374143494429,0.544264819091609,0.6042735042735042,0.572701498582422,707,592,463,19473,1299,1170,21235,1,0
0.9412073294672274,0.5627743634767339,0.5478632478632479,0.5552187093980079,641,498,529,19567,1139,1170,21235,0,0
