score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
mean_similarity,mean_similarity,mean_similarity <= threshold,0.008893,0.0,0.0,0.0,0,1,836,4806,1,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.08653,0.2288135593220339,0.0645933014354067,0.10074626865671642,54,182,782,4625,236,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.157629,0.21656050955414013,0.12200956937799043,0.15608263198163735,102,369,734,4438,471,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.202543,0.20821529745042494,0.17583732057416268,0.1906614785992218,147,559,689,4248,706,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.23892,0.20085015940488843,0.22607655502392343,0.212718064153067,189,752,647,4055,941,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.270716,0.19727891156462585,0.27751196172248804,0.23061630218687873,232,944,604,3863,1176,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.304873,0.19702338766832034,0.33253588516746413,0.24744103248776142,278,1133,558,3674,1411,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.345343,0.1913730255164034,0.37679425837320574,0.25382755842062854,315,1331,521,3476,1646,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.386275,0.18394471026049974,0.4138755980861244,0.25469267574530735,346,1535,490,3272,1881,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.42449,0.18478260869565216,0.4677033492822967,0.2649051490514905,391,1725,445,3082,2116,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.459067,0.17822203317737134,0.5011961722488039,0.26294320677753374,419,1932,417,2875,2351,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.495026,0.17556071152358854,0.5430622009569378,0.2653419053185272,454,2132,382,2675,2586,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.527259,0.1732813607370659,0.5849282296650717,0.26735921268452706,489,2333,347,2474,2822,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.558945,0.17108276087667648,0.6255980861244019,0.26868738761880295,523,2534,313,2273,3057,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.589354,0.16828675577156743,0.6626794258373205,0.26841085271317827,554,2738,282,2069,3292,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.617553,0.16614686702580098,0.7009569377990431,0.268622507449003,586,2941,250,1866,3527,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.639996,0.16480595427963848,0.7416267942583732,0.2696824706394084,620,3142,216,1665,3762,836,5643,1,1
mean_similarity,mean_similarity,mean_similarity <= threshold,0.663481,0.1623717788341256,0.7763157894736842,0.26857024622387754,649,3348,187,1459,3997,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.682492,0.15855387523629488,0.8026315789473685,0.2647987371744278,671,3561,165,1246,4232,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.705162,0.15625699574658608,0.8349282296650717,0.2632472185555346,698,3769,138,1038,4467,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.731317,0.15461505742237347,0.8696172248803827,0.26254965691585413,727,3975,109,832,4702,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.759855,0.15373708729997976,0.9078947368421053,0.26294820717131473,759,4178,77,629,4937,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.793835,0.15332559938128384,0.9485645933014354,0.26398135818908125,793,4379,43,428,5172,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.834604,0.15075841657417685,0.9748803827751196,0.2611342518423582,815,4591,21,216,5406,836,5643,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.962336,0.14814814814814814,1.0,0.25806451612903225,836,4807,0,0,5643,836,5643,0,0
