score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
mean_similarity,mean_similarity,mean_similarity <= threshold,0.008794,0.0,0.0,0.0,0,1,789,4993,1,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.073751,0.24066390041493776,0.07351077313054499,0.11262135922330095,58,183,731,4811,241,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.149797,0.2033195020746888,0.12420785804816223,0.15420928402832415,98,384,691,4610,482,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.19956,0.19363762102351315,0.17743979721166034,0.18518518518518517,140,583,649,4411,723,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.235291,0.18775933609958506,0.229404309252218,0.2065031374786081,181,783,608,4211,964,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.264212,0.1908713692946058,0.2915082382762991,0.23069207622868607,230,975,559,4019,1205,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.298611,0.1798063623789765,0.32953105196451205,0.232662192393736,260,1186,529,3808,1446,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.336995,0.17308832246591582,0.3700887198986058,0.23586429725363486,292,1395,497,3599,1687,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.378695,0.16856846473029047,0.41191381495564006,0.23923444976076555,325,1603,464,3391,1928,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.417752,0.15998155832180727,0.43979721166032953,0.2346179851250845,347,1822,442,3172,2169,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.457851,0.16016597510373445,0.4892268694550063,0.241325414191935,386,2024,403,2970,2410,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.491602,0.15503583553376085,0.5209125475285171,0.23895348837209301,411,2240,378,2754,2651,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.524312,0.15387275242047027,0.5640050697084917,0.24178212442271121,445,2447,344,2547,2892,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.553289,0.15197956577266922,0.6032953105196451,0.2427952053047692,476,2656,313,2338,3132,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.582651,0.15060776756596503,0.6438529784537389,0.24411340701585776,508,2865,281,2129,3373,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.609558,0.14831211953514112,0.679340937896071,0.24347036111741996,536,3078,253,1916,3614,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.633039,0.14863813229571984,0.7262357414448669,0.24677002583979327,573,3282,216,1712,3855,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.656009,0.14892578125,0.7731305449936628,0.24974411463664278,610,3486,179,1508,4096,789,5783,1,1
mean_similarity,mean_similarity,mean_similarity <= threshold,0.676521,0.1470723835869064,0.8086185044359949,0.2488784864443144,638,3700,151,1294,4338,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.702391,0.145478374836173,0.844106463878327,0.2481833426495249,666,3912,123,1082,4578,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.726302,0.14359825689977174,0.8770595690747782,0.2467902995720399,692,4127,97,867,4819,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.755097,0.14209486166007906,0.9112801013941698,0.24585399213540782,719,4341,70,653,5060,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.793872,0.14072816449726466,0.9455006337135615,0.24499178981937605,746,4555,43,439,5301,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.841328,0.1398412125586431,0.982256020278834,0.24482704154162063,775,4767,14,227,5542,789,5783,0,0
mean_similarity,mean_similarity,mean_similarity <= threshold,0.957949,0.1364343766211309,1.0,0.2401095556908095,789,4994,0,0,5783,789,5783,0,0
