threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.1,0.7660972404730617,0.37540244687701224,0.5038893690579084,583,178,970,10024,761,1553,11755,0,1
0.2,0.7671052631578947,0.37540244687701224,0.5041072200605274,583,177,970,10025,760,1553,11755,1,0
0.3,0.7472118959107806,0.25885383129426914,0.38450502152080346,402,136,1151,10066,538,1553,11755,0,0
0.4,0.7472118959107806,0.25885383129426914,0.38450502152080346,402,136,1151,10066,538,1553,11755,0,0
0.5,0.746938775510204,0.23567289117836446,0.35829662261380324,366,124,1187,10078,490,1553,11755,0,0
0.6,0.9501312335958005,0.23309723116548617,0.37435367114788004,362,19,1191,10183,381,1553,11755,0,0
0.7,0.9501312335958005,0.23309723116548617,0.37435367114788004,362,19,1191,10183,381,1553,11755,0,0
