threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.1,0.07539682539682539,0.08607021517553794,0.08038075092543628,76,932,807,17019,1008,883,18834,0,1
0.2,0.07539682539682539,0.08607021517553794,0.08038075092543628,76,932,807,17019,1008,883,18834,0,0
0.3,0.07577268195413758,0.08607021517553794,0.08059384941675503,76,927,807,17024,1003,883,18834,1,0
0.4,0.07577268195413758,0.08607021517553794,0.08059384941675503,76,927,807,17024,1003,883,18834,0,0
0.5,0.0,0.0,0.0,0,35,883,17916,35,883,18834,0,0
0.6,0.0,0.0,0.0,0,8,883,17943,8,883,18834,0,0
0.7,0.0,0.0,0.0,0,8,883,17943,8,883,18834,0,0
