candidate_type,score_column,threshold,precision,recall,f1,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
is_single_word,mt_score,0.0,0.42,1.0,0.5915492957746479,400,168,400,0,0
is_single_word,mt_score,0.25,0.5186335403726708,0.9940476190476191,0.6816326530612244,322,168,400,0,0
is_single_word,mt_score,0.5,0.5659722222222222,0.9702380952380952,0.7149122807017544,288,168,400,0,0
is_single_word,mt_score,0.75,0.6274509803921569,0.9523809523809523,0.7565011820330969,255,168,400,0,0
is_single_word,mt_score,1.0,0.7578947368421053,0.8571428571428571,0.8044692737430168,190,168,400,1,1
