batch,cand_type,precision,recall,f1
medslangbert_batch_0,is_multiword,0.1415850400712377,1.0,0.2480499219968799
medslangbert_batch_0,is_single_word,0.134763948497854,0.8020434227330779,0.2307550982913834
medslangbert_batch_0,all,0.1360885353622687,0.8354564755838642,0.2340520446096654
medslangbert_batch_1,is_multiword,0.1299559471365639,1.0,0.2300194931773879
medslangbert_batch_1,is_single_word,0.1764034687357371,0.7745490981963928,0.287360594795539
medslangbert_batch_1,all,0.1684310018903591,0.7983870967741935,0.2781767093349984
medslangbert_batch_2,is_multiword,0.1348088531187122,1.0,0.2375886524822695
medslangbert_batch_2,is_single_word,0.1482039148203914,0.7946943483275664,0.2498187092095721
medslangbert_batch_2,all,0.1458444090023037,0.8221778221778222,0.2477423239012643
medslangbert_batch_3,is_multiword,0.1468085106382978,1.0,0.2560296846011131
medslangbert_batch_3,is_single_word,0.1425178147268408,0.7838479809976246,0.2411839941531153
medslangbert_batch_3,all,0.143241787829833,0.8142857142857143,0.243626927186689
