score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
avg gap,average gap,0.0,0.18935208437970869,0.6911090742438131,0.2972600039424404,754,3228,337,33442,3982,1091,37761,0,0
avg gap,average gap,1.691093,0.2813905930470348,0.6306141154903758,0.38914027149321273,688,1757,403,34913,2445,1091,37761,0,0
avg gap,average gap,4.784699,0.42900997697620874,0.5123739688359303,0.467000835421888,559,744,532,35926,1303,1091,37761,1,1
avg gap,average gap,21.040622,0.0,0.0,0.0,0,0,1091,36670,0,1091,37761,0,0
