candidate_type,score_column,threshold,precision,recall,f1,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
is_single_word,mt_score,0.0,0.056404600598708,1.0,0.1067859806114839,19041,1074,19041,0,0
is_single_word,mt_score,0.25,0.0730564876957494,0.972998137802607,0.1359084406294706,14304,1074,19041,0,0
is_single_word,mt_score,0.5,0.097276645768025,0.9245810055865922,0.1760326183300833,10208,1074,19041,0,0
is_single_word,mt_score,0.75,0.1292754432500349,0.8621973929236499,0.224839140463761,7163,1074,19041,0,0
is_single_word,mt_score,1.0,0.1724895627334651,0.7309124767225326,0.2791111111111111,4551,1074,19041,1,1
is_single_word,mt_score,0.0,0.0570462708641453,1.0,0.1079352388566859,18932,1080,18932,0,0
is_single_word,mt_score,0.25,0.0744058114112419,0.976851851851852,0.1382790484304345,14179,1080,18932,0,0
is_single_word,mt_score,0.5,0.0993874728314562,0.9314814814814816,0.1796107837886091,10122,1080,18932,0,0
is_single_word,mt_score,0.75,0.1334096764958488,0.8629629629629629,0.2310934787999008,6986,1080,18932,0,0
is_single_word,mt_score,1.0,0.1869115958668197,0.7537037037037037,0.299540018399264,4355,1080,18932,1,1
is_single_word,mt_score,0.0,0.0546862816447471,1.0,0.1037015131351964,19237,1052,19237,0,0
is_single_word,mt_score,0.25,0.0702564809707666,0.9686311787072244,0.1310105425559269,14504,1052,19237,0,0
is_single_word,mt_score,0.5,0.0951184146930884,0.935361216730038,0.1726770202684917,10345,1052,19237,0,0
is_single_word,mt_score,0.75,0.1291666666666666,0.8840304182509505,0.2253999030538051,7200,1052,19237,0,0
is_single_word,mt_score,1.0,0.1780162031968469,0.7728136882129277,0.2893753336892685,4567,1052,19237,1,1
