candidate_type,score_column,threshold,precision,recall,f1,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
is_single_word,mt_score,0.0,0.0546862816447471,1.0,0.10370151313519642,19237,1052,19237,0,0
is_single_word,mt_score,0.25,0.07025648097076669,0.9686311787072244,0.13101054255592698,14504,1052,19237,0,0
is_single_word,mt_score,0.5,0.09511841469308845,0.935361216730038,0.17267702026849172,10345,1052,19237,0,0
is_single_word,mt_score,0.75,0.12916666666666668,0.8840304182509505,0.22539990305380514,7200,1052,19237,0,0
is_single_word,mt_score,1.0,0.17801620319684694,0.7728136882129277,0.28937533368926854,4567,1052,19237,1,1
