threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.16271826038277595,0.023529411764705882,0.8579881656804734,0.04580273236989655,870,36105,144,1150,36975,1014,38269,0,0
0.4334338556297024,0.1591170383996321,0.6824457593688363,0.25806451612903225,692,3657,322,33598,4349,1014,38269,0,1
0.44261547625117437,0.16049091338211,0.6706114398422091,0.25899828604075414,680,3557,334,33698,4237,1014,38269,0,0
0.4988185214043336,0.16049091338211,0.6706114398422091,0.25899828604075414,680,3557,334,33698,4237,1014,38269,0,0
0.7576303923056518,0.17276529012023,0.6518737672583826,0.2731404958677686,661,3165,353,34090,3826,1014,38269,0,0
0.7966618291597674,0.16706507304116866,0.6203155818540433,0.2632349863988282,629,3136,385,34119,3765,1014,38269,0,0
0.8026374143494429,0.5746031746031746,0.35700197238658776,0.4403892944038929,362,268,652,36987,630,1014,38269,1,0
0.9412073294672274,0.5808080808080808,0.34023668639053256,0.4291044776119403,345,249,669,37006,594,1014,38269,0,0
