candidate_type,score_column,threshold,precision,recall,f1,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
is_single_word,mt_score,0.0,0.0587980977086035,1.0,0.111065741118824,13878,816,13878,0,0
is_single_word,mt_score,0.25,0.0633065270244997,0.8296568627450981,0.1176368375325803,10694,816,13878,0,0
is_single_word,mt_score,0.5,0.0693499348487042,0.5870098039215687,0.124045060209763,6907,816,13878,1,1
is_single_word,mt_score,0.75,0.0747785304846274,0.3517156862745098,0.1233347657928663,3838,816,13878,0,0
is_single_word,mt_score,1.0,0.0726698262243285,0.1127450980392156,0.0883765609990393,1266,816,13878,0,0
is_single_word,mt_score,0.0,0.0557254954116238,1.0,0.1055681531872008,15038,838,15038,0,0
is_single_word,mt_score,0.25,0.0619372442019099,0.8126491646778043,0.1151018338544747,10995,838,15038,0,0
is_single_word,mt_score,0.5,0.064883884588318,0.5501193317422435,0.1160770489739393,7105,838,15038,1,1
is_single_word,mt_score,0.75,0.0665975641357864,0.3066825775656324,0.1094315520545028,3859,838,15038,0,0
is_single_word,mt_score,1.0,0.0602813127930341,0.107398568019093,0.0772200772200772,1493,838,15038,0,0
is_single_word,mt_score,0.0,0.0574790370570733,1.0,0.108709553651362,14788,850,14788,0,0
is_single_word,mt_score,0.25,0.0634878114117332,0.8364705882352941,0.1180180927877832,11199,850,14788,0,0
is_single_word,mt_score,0.5,0.0660313138189244,0.5705882352941176,0.1183648566198901,7345,850,14788,1,1
is_single_word,mt_score,0.75,0.0684657671164417,0.3223529411764705,0.1129431162407254,4002,850,14788,0,0
is_single_word,mt_score,1.0,0.0696692470091484,0.1164705882352941,0.0871862615587846,1421,850,14788,0,0
