batch,score_category,score_column,prediction_rule,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.44578,0.2268602540834845,0.5549389567147613,0.322061191626409,500,1704,401,2685,2204,901,5290,1,1
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.48261,0.2169072164948453,0.5837957824639289,0.3162958508719182,526,1899,375,2490,2425,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.518089,0.2090737240075614,0.6137624861265261,0.3119007332205302,553,2092,348,2297,2645,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.55358,0.2017452006980802,0.6415094339622641,0.3069569835369091,578,2287,323,2102,2865,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.585859,0.1973428386260531,0.6759156492785794,0.3054928517682468,609,2477,292,1912,3086,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.611991,0.1954022988505747,0.7169811320754716,0.3071072022819111,646,2660,255,1729,3306,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.638318,0.1911514463981849,0.7480577136514983,0.3044951434379941,674,2852,227,1537,3526,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.661638,0.1902855617827595,0.7913429522752498,0.3067986230636833,713,3034,188,1355,3747,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.686215,0.1840181497353163,0.8102108768035516,0.2999178307313064,730,3237,171,1152,3967,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.711533,0.1824259789875835,0.8479467258601554,0.3002554529377088,764,3424,137,965,4188,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.736788,0.1808076225045372,0.8845726970033296,0.3002448672066303,797,3611,104,778,4408,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.767306,0.1791270527225583,0.9200887902330744,0.2998733948272744,829,3799,72,590,4628,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.799257,0.1771499278201691,0.95338512763596,0.2987826086956522,859,3990,42,399,4849,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.838567,0.1741960939041231,0.9800221975582686,0.2958123953098827,883,4186,18,203,5069,901,5290,0,0
medslangbert_batch_1,mean_similarity,mean_similarity,mean_similarity <= threshold,0.962582,0.1703535640007563,1.0,0.2911147011308562,901,4388,0,1,5289,901,5290,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.008893,0.0,0.0,0.0,0,1,836,4806,1,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.08653,0.2288135593220339,0.0645933014354067,0.1007462686567164,54,182,782,4625,236,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.157629,0.2165605095541401,0.1220095693779904,0.1560826319816373,102,369,734,4438,471,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.202543,0.2082152974504249,0.1758373205741626,0.1906614785992218,147,559,689,4248,706,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.23892,0.2008501594048884,0.2260765550239234,0.212718064153067,189,752,647,4055,941,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.270716,0.1972789115646258,0.277511961722488,0.2306163021868787,232,944,604,3863,1176,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.304873,0.1970233876683203,0.3325358851674641,0.2474410324877614,278,1133,558,3674,1411,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.345343,0.1913730255164034,0.3767942583732057,0.2538275584206285,315,1331,521,3476,1646,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.386275,0.1839447102604997,0.4138755980861244,0.2546926757453073,346,1535,490,3272,1881,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.42449,0.1847826086956521,0.4677033492822967,0.2649051490514905,391,1725,445,3082,2116,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.459067,0.1782220331773713,0.5011961722488039,0.2629432067775337,419,1932,417,2875,2351,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.495026,0.1755607115235885,0.5430622009569378,0.2653419053185272,454,2132,382,2675,2586,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.527259,0.1732813607370659,0.5849282296650717,0.267359212684527,489,2333,347,2474,2822,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.558945,0.1710827608766764,0.6255980861244019,0.2686873876188029,523,2534,313,2273,3057,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.589354,0.1682867557715674,0.6626794258373205,0.2684108527131782,554,2738,282,2069,3292,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.617553,0.1661468670258009,0.7009569377990431,0.268622507449003,586,2941,250,1866,3527,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.639996,0.1648059542796384,0.7416267942583732,0.2696824706394084,620,3142,216,1665,3762,836,5643,1,1
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.663481,0.1623717788341256,0.7763157894736842,0.2685702462238775,649,3348,187,1459,3997,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.682492,0.1585538752362948,0.8026315789473685,0.2647987371744278,671,3561,165,1246,4232,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.705162,0.156256995746586,0.8349282296650717,0.2632472185555346,698,3769,138,1038,4467,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.731317,0.1546150574223734,0.8696172248803827,0.2625496569158541,727,3975,109,832,4702,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.759855,0.1537370872999797,0.9078947368421052,0.2629482071713147,759,4178,77,629,4937,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.793835,0.1533255993812838,0.9485645933014354,0.2639813581890812,793,4379,43,428,5172,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.834604,0.1507584165741768,0.9748803827751196,0.2611342518423582,815,4591,21,216,5406,836,5643,0,0
medslangbert_batch_2,mean_similarity,mean_similarity,mean_similarity <= threshold,0.962336,0.1481481481481481,1.0,0.2580645161290322,836,4807,0,0,5643,836,5643,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.008669,1.0,0.0012285012285012,0.0024539877300613,1,0,813,4757,1,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.078538,0.2918454935622318,0.0835380835380835,0.1298949379178605,68,165,746,4592,233,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.148195,0.2473118279569892,0.1412776412776412,0.17982799061767,115,350,699,4407,465,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.199386,0.236728837876614,0.2027027027027027,0.2183984116479153,165,532,649,4225,697,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.234659,0.2335844994617868,0.2665847665847666,0.248995983935743,217,712,597,4045,929,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.265115,0.2351421188630491,0.3353808353808354,0.2764556962025316,273,888,541,3869,1161,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.305606,0.2290021536252692,0.3918918918918919,0.2890801993656547,319,1074,495,3683,1393,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.34301,0.2184615384615384,0.4361179361179361,0.2911029110291103,355,1270,459,3487,1625,814,5571,1,1
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.382555,0.2057081313947226,0.4692874692874693,0.286035192811681,382,1475,432,3282,1857,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.422833,0.2005744375299186,0.5147420147420148,0.2886668963141577,419,1670,395,3087,2089,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.46311,0.1943127962085308,0.5540540540540541,0.287719298245614,451,1870,363,2887,2321,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.49858,0.1856639247943595,0.5823095823095823,0.2815562815562816,474,2079,340,2678,2553,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.530941,0.1802513464991023,0.6167076167076168,0.2789663795498749,502,2283,312,2474,2785,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.559097,0.1756129887342611,0.6511056511056511,0.2766179540709812,530,2488,284,2269,3018,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.587456,0.1726153846153846,0.6891891891891891,0.2760826771653543,561,2689,253,2068,3250,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.611665,0.1697300402067777,0.726044226044226,0.2751396648044692,591,2891,223,1866,3482,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.634133,0.1661281637049003,0.757985257985258,0.2725265017667844,617,3097,197,1660,3714,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.657567,0.1636686090701798,0.7936117936117936,0.2713715605965133,646,3301,168,1456,3947,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.678968,0.1608425083772139,0.8255528255528255,0.2692307692307692,672,3506,142,1251,4178,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.704285,0.1580498866213152,0.8562653562653563,0.2668453292496171,697,3713,117,1044,4410,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.728111,0.1533161068044789,0.8746928746928747,0.2609014290949066,712,3932,102,825,4644,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.75975,0.1514156750102585,0.9066339066339066,0.259493670886076,738,4136,76,621,4874,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.794771,0.1498237367802585,0.9398034398034398,0.2584459459459459,765,4341,49,416,5106,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.840652,0.148370176095916,0.972972972972973,0.2574772431729519,792,4546,22,211,5338,814,5571,0,0
medslangbert_batch_3,mean_similarity,mean_similarity,mean_similarity <= threshold,0.969543,0.1461138036259199,1.0,0.2549725920125293,814,4757,0,0,5571,814,5571,0,0
