threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
0.1,0.06887052341597796,0.08620689655172414,0.07656967840735068,75,1014,795,17682,1089,870,19566,1,1
0.2,0.06887052341597796,0.08620689655172414,0.07656967840735068,75,1014,795,17682,1089,870,19566,0,0
0.3,0.06826568265682657,0.08505747126436781,0.07574206755373593,74,1010,796,17686,1084,870,19566,0,0
0.4,0.06826568265682657,0.08505747126436781,0.07574206755373593,74,1010,796,17686,1084,870,19566,0,0
0.5,0.06451612903225806,0.0022988505747126436,0.004439511653718091,2,29,868,18667,31,870,19566,0,0
0.6,0.0,0.0,0.0,0,4,870,18692,4,870,19566,0,0
0.7,0.0,0.0,0.0,0,4,870,18692,4,870,19566,0,0
