score_category,score_column,threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best,selected_for_prediction
avg gap,average gap,0.0,0.05841584158415842,0.06844547563805105,0.06303418803418803,59,951,803,17682,1010,862,19495,0,0
avg gap,average gap,2.365775,0.0678391959798995,0.06264501160092807,0.06513872135102534,54,742,808,17891,796,862,19495,1,1
avg gap,average gap,3.125095,0.07193229901269393,0.05916473317865429,0.06492679821769574,51,658,811,17975,709,862,19495,0,0
avg gap,average gap,3.594287,0.07197549770290965,0.054524361948955914,0.062046204620462043,47,606,815,18027,653,862,19495,0,0
avg gap,average gap,4.09417,0.07035175879396985,0.048723897911832945,0.05757368060315284,42,555,820,18078,597,862,19495,0,0
avg gap,average gap,4.736743,0.08316831683168317,0.048723897911832945,0.061448427212874905,42,463,820,18170,505,862,19495,0,0
avg gap,average gap,5.687453,0.09366391184573003,0.03944315545243619,0.055510204081632646,34,329,828,18304,363,862,19495,0,0
avg gap,average gap,16.165611,0.0,0.0,0.0,0,1,862,18632,1,862,19495,0,0
