threshold,precision,recall,f1,tp,fp,fn,tn,predicted_count,gold_count,candidate_count,is_best
0.16271826038277595,0.41854636591478694,0.9940476190476191,0.5890652557319224,167,232,1,29,399,168,429,0
0.4334338556297024,0.7566137566137566,0.8511904761904762,0.8011204481792716,143,46,25,215,189,168,429,1
0.4988185214043336,0.7566137566137566,0.8511904761904762,0.8011204481792716,143,46,25,215,189,168,429,0
0.7576303923056518,0.7771428571428571,0.8095238095238095,0.7930029154518949,136,39,32,222,175,168,429,0
0.7966618291597674,0.7692307692307693,0.7738095238095238,0.7715133531157271,130,39,38,222,169,168,429,0
0.9412073294672274,0.8974358974358975,0.20833333333333334,0.33816425120772947,35,4,133,257,39,168,429,0
